tr,tc,q
13536,11790,206
12205,14503,231
12881,15323,245
12837,3276,96
13477,13523,228
14524,5337,133
15041,8431,178
14938,8960,183
14278,12207,220
12480,14756,244
14708,5923,134
13950,13297,223
15564,8342,161
13414,4593,108
15360,10851,198
14371,5746,138
14030,4925,126
13974,10087,196
13450,13007,226
12753,3449,95
13342,3930,101
15447,9281,183
15245,9463,184
15299,7005,153
14564,10501,196
14878,6246,138
16298,9419,180
14304,5053,115
16074,8791,173
12859,15690,248
13076,3633,91
15912,9230,177
14041,13459,225
16268,8026,158
17028,7375,151
16203,10517,190
16516,7685,155
14864,5900,129
12096,4393,91
14772,10066,184
9396,3525,73
13055,5580,128
12590,5217,123
12497,6513,141
11656,5638,130
8743,2839,86
11421,8692,187
8435,4829,83